	标点
排揎	谴责 严厉
联合国贸易和发展会议	部件 经济 机构 联合国 政 专 国际
蔓菁	部件 根 蔬菜 吃
蔓菁	蔬菜
吃枪药	坏脾气
用之不竭	多
氨基酸尿	化学物
支柱性	重要
一隅之见	念头 浅薄
低价	价格 商业 人工物 贱
低价	贱 商业
评测比赛	事情 比赛 评估
图像	图像
加里曼丹	地方 省 印度尼西亚 专
愚氓	人 愚
无从说起	不知 位置 开始
递送人	人 运送 物质 邮寄
羱	文字 中国
写作学	知识 编辑
湘南	位置 地方 省 中国 专
色诱	勾引 外观 人 女 意愿 期望 交配
应付裕如	处理 易
环境监测	事情 监察 情况 实体
腺	部件 络 动物 排出 体液 制造 体液
胡琴	乐器
轰动	感动
形成	问世
形成	成形
形成	形成
形成	发生
变属性	变属性
河湾	部件 弯 水域
四十五	基数
曦	光 缘于 天体
残雪	雨雪
槌棒	用具 打
结案率	比率 事情 实现 事情 警
党政军	军队 团体 政 机构 政 官 管理
月俸	酬金 付 频度值 时间 月 单
叛卖	背叛
全身麻醉	事情 使动 瘫麻 全面 医 医治
界域	部件 边 地方 国家 政
钛酸	化学物
底气	力量 人
北伐战争	事情 争斗 中国 军 专
腱子	部件 肉 动物
身高马大	身高
笔	名量 金融 资金
笔	方法 画 写
笔	部件 文字
笔	用具 画 写
辑要	语文 扼要
白质	物质
雪菜虾仁豆腐	食品 烹调
相关矩阵	符号 数学 计算
驰心外骛	从事 万物 另
份菜	食物
墨水池	用具 放置 用具 液态 写
红海	水域 亚洲 专 面
渡过	度过
无原则	莽
出厂价	价格 商业 人工物
老大难	难
菲酌	食物 俭
厚谊	情感 友 深刻
滹沱	水域 中国 专 线
木炭	材料 木 焚烧
节概	道德 人 高尚
蜡花	部件 用具 照射
桩	名量 事情
桩	部件 骨 建筑物
恒久不变	永久性
特设委员会	部件 特别 机构
捕风捉影	伪
不协调	讷
勃兰登堡门	建筑物 德国 专
对	方向特性值 朝向 相互
对	相互
对	功能词
对	名量 人
对	名量 无生物
对	增加
对	调整
对	查
对	正确
对	朝向
对	适合
对	答
对	对待
无心插柳柳成荫	成功 做 无意
制裁	处罚
螭	走兽 拟人
上半截	部件 半 万物
不佳	有弊
肠道病	疾病 部件 脏 部件 脏 动物 消化
浮噪	莽
赤子之心	情感 纯
手势语	语言 利用 人 残疾 发声 听
成夜	时间 夜 全面
最高点	界限 实体 高于正常 最
时髦	时髦
夺过来	抢
岑	陆地 凸
岑	姓
垂爱	喜欢
克分子量	单位 化学 重量
千叮咛万嘱咐	劝说
禅理	知识 佛教 宗教
内华达	地方 省 美国 专
楝	树
摩洛哥人	人 摩洛哥
沾酒	喝 饮品 嗜好
双受精	传送 部件 胚 生物
牵累	有关
乘龙快婿	人 家庭 旁系 小辈 男
猖獗	胡闹
一心一德	诚心
设备驱动程序	软件
水文图	图像 现象 变空间位置 水 变 水
鼓足勇气	感动
灰口铁	金属 材料
镇住	镇静
翘辫子	死
沮丧	失望
沮丧	泼冷水
震荡	颤动
换乘	搭乘 交通工具 另
换乘	代替 车 旅游
碧绿干烧澳带	食品 烹调
大赦	免除 处罚 警
陷害	损害
平心静气	柔
混淆是非	使误知
开脱	使之非 警
餐饮部	场所 商业 吃 食物 简
看中	喜欢
逅	文字 中国
工艺品	人工物 艺 文
工艺品	人工物 制造 部件 手 人
哥达	地方 市 德国 专
弗雷斯诺	地方 市 美国 专
外强中干	单弱 健壮 外观
孵出	生殖 禽
浪迹天涯	流浪 地方 世界
飞行学校	场所 教育 学习 驾驭 飞行器 教 驾驭 飞行器
锁链	部件 机器
锁链	用具 警 扣住 人 有罪
镇守	防守 军
投弹	投下 武器 军
投弹	扔 武器 军
渊源	来源 物质
大惊小怪	不安
就寝	睡
年庚	时间 问世
即或	功能词
政治问题	问题 政
筑造学	知识 事情 建造
压缩	缩小
压缩	削减
卡口插座	配件 用具 连接 电
仇恨	情感 仇恨
仇恨	仇恨
自杀	自杀
理工学院	场所 教育 高等 学习 知识 工 教 知识 工
弟媳	人 家庭 同辈 旁系 女
入不敷出	缺少
屈指	计算 部件 部件 手 人
骨痛热	疾病
两小无猜	亲密
小跑	跑
利润率	比率 金融 酬金
沉淀物	物质 分离
抱恨终天	懊悔
本领	能力 生物
帮助	帮助
黏	黏
苄醇	化学物
天疱疮	疾病 部件 皮 人
避坑落井	成为 倒霉
筚篥	乐器
核心	重要
核心	部件 心 实体
感到悲痛	心怀 悲哀
到处探查	看 隐秘
耙子	用具 农
季节性	特性值 依靠 时间 季
盲人	人 残疾 部件 眼 人 看
自主经营	管理 经济 独立
船只总数	多少 船
详细	详
卷入性骚扰	从事 事情 行动 淫
吓人	能 促使 害怕
弄死	杀害
桌椅	家具
光线	光
最大限度地缩小	削减 泛 极
磁带盒	部件 用具 记录 放置 用具 记录
恐怕	功能词
可切除	能 消除
阳伞	用具 阻止 光 缘于 天体
阳伞	用具 保护
不拘形迹	非正式
琢磨	优化
琢磨	雕刻
琢磨	思考 深奥
渺渺	浑
久	长时间
心理语言学	知识 语言
同甘共苦	经受 境况 共同
同性恋	事情 爱恋 人 爱恋 人 性别 似
同性恋	人 爱恋 人 性别 似
一多半	多
挖墙角	损害 部件 皮 建筑物
自找麻烦	招惹 遭受 劫难
征讨	攻打 军
违法	违背 律法
智力迟钝	单弱 人 智慧
蚕豆	部件 胚 蔬菜 吃
蚕豆	蔬菜
后防	事务 防守 国家
恒星年	时间 年
采编	编辑 采集 新闻
散居	住下 散开
吸根	部件 根 植物
并排	近
白米饭	食品 烹调
不合宜	不宜
剑鞘	用具 放置 武器 军
过境旅客	人 旅游 越过 部件 边 地方 国家 政
歆	羡慕
蹚路	调查 道路
规程	规矩
炭窑	设施 工 制造 材料
离群索居	谋生 孤
苛政猛于虎	制度 严厉
今朝	现在
今朝	时间 日 现在 特定
今朝	时间 现在
垂直性	特性 物质 部件他移 下
性行为	事情 交配
核辐射	事情 照射 力量 物质 使动 活动 机器
钟点房	房间 场所 旅游 吃 娱乐 住下
高寒	冷
来料	材料
大本	教养 人 场所 教育 高等 学习 教
命名	称作
节点	位置 点
黑船	船 非法
酮	化学物
用腻子弥上	涂抹 材料 建造
恺悌	友善
谎报	欺骗
舍间	地方 家庭 特定 我
磻溪	地方 中国 专
极其流行	兴
白费心思	从事 无效果
批号	符号
七八月	时间 月 特定 众
最后	功能词
最后	方位特性值 后
最后	最后
筑路	建造 道路
砾	土石
相识	交往
相识	人 友
文韬武略	规划 军 争斗
撂倒	战胜
零星	缺
零星	偶尔
星期六晚上	时间 夜 时间 日 周 特定
认死理儿	呆
必须记住	功能词
震撼力	力量 实体 能 促使 激动
高出	是 高 较
高出	高 较
缓步	慢
川芎	花草 药物
强加于人	强迫 人
多次	再
宇宙尘埃	土石 无用 天体
芦荡	陆地 水域
帽商	人 职位 制造 衣物 穿戴 部件 头 人
梳理	化妆
梳理	整理 工
无力回天	救助 没能力
白鲑	鱼
见景生情	激动 景象
女保护者	人 职位 女 保护
鞋帽	衣物 穿戴 部件 脚 人 衣物 穿戴 部件 头 人
x	文字 英国
绿藻	低植
蜜熊	走兽
深挖	挖掘 深
深挖	调查 全面
天上	位置 空域
天上	地方 拟人 活着
来自	来
薄雾	云雾 薄
以身许国	死 担任 责任
计件工作	事务 职位 赚 活着
密集型	特性值 基于
广告宣传	传播 商业
贿买	赠 有罪 勾引
工业化国家	地方 国家 政 兴
癞	疾病
癞	疾病 部件 皮 动物
首届	首次
配有	包含 供
ＩＣ卡	文书 留存 货币 取回 货币 付 货币
麦尔登呢	材料 衣物 用具
甲兵	人 军队 争斗 军
甲兵	武器 军
港湾	设施 靠近 水域 终止他移 放置 船
空乘人员	人 职位 照料 飞行器
攻城打援	攻打 军 地方
搥胸顿足	表示坏情感
成堆的	多
医学界	团体 研究 知识 医
拿铁	饮品 味浓 稠
克隆	制造 生物 交配 否
抚弄	抚
坐天下	得到 政 势力 管理 地方 国家 政
发话	命令
发话	说 生气
志大才疏	庸
大包干	制度
戊戌维新	事情 改良 政
悔不该	懊悔
风流蕴藉	雅
家丁	人 职位 照料
拨	名量 人
拨	揉弄
拨	分发
拨	扭转
拨	扭转 启动 用具 交流 距离值 长
步态	姿势 动物 走
压低物价	削减 商业 价格
洋里洋气	外国
技术作物	庄稼
渐近线	界限 数学 实体
留学生	人 教育 学习 地方 外国
趾	部件 部件 脚 动物
生涩	畅 否
安全期	时间 怀孕 否
称述	说明
囚徒	人 有罪 扣住 警
麦片粥	食品
当地	现场
快速	快
冤案	事情 劫难 遭受 对待 不公正 警
流行性感冒	疾病
斫	折断
恶狗	牲畜 家养 暴
那边	位置 特定
崇高	高尚
通俗杂志	书刊 通俗
远景	前景 事件 万物
涂鸦	图像 画 莽
涂鸦	痕 文字 写 莽
涂鸦	写 莽
弱不胜衣	单弱
宅子	房屋
宅子	地方 住下
代理商	人 职位 商业 连接
危险物品	人工物 危
储暨	地方 市 中国 专
重复性劳动	力量 群体 人 重复
知书达理	有教养
绞肠痧	疾病
二十四史	书刊 中国 专
弘大	壮观
刚好	偶发
刚好	精确
匍匐前进	前进 爬
年报	读物 记录 事情 重要 过去
官吏	人 官
荦荦大者	清晰
香案	家具 致敬
按键	部件 用具
气体力学	知识 物理
分销点	人 商业 卖 分发
神经病学	知识 事情 医治 医
SCO	机构 规矩 政 专 国际
匪巢	地方 存在 人 有罪
罗织罪名	诽谤
科学院	场所 中国 专 研究 知识
科学院	场所 研究 知识
蜜色	黄 淡
感冒	疾病
感冒	寒热
湿透	湿
墙垣	部件 皮 建筑物
给体	人 捐
魔术演员	人 职位 艺 表演
商港	设施 商业 靠近 水域 停留 船
海关	机构 查 征收 费用
绝子绝孙	无 人 家庭 小辈
反身代词	部件 语言
消过毒	杀害 微生物 医 能 导致 疾病 变特性 洁
特技飞行	表演物 驾驭 飞行器
轻轨铁路	设施 运送
生路	方法 活着 赚
不好听	好听 否
腰板儿	部件 身 后 动物
美术明信片	用具 写 信件
炳	明
白领工人	人 职位 雇用
拖下去	拖延
丧权辱国	屈服
餐巾	用具 擦拭 吃
羁留	扣住 警
羁留	停留
隐私	事情 隐秘
白醋	材料 食品 酸
辽宁省	地方 省 中国 专
两广	地方 省 中国 专
讨账	要求 还 钱财 金融 欠 还
选拔	选择
桢	树
先发制人	攻打
弯下	部件他移
忘年交	亲疏 人 亲密
忘年交	人 友 亲密
物质储备	人工物 保存
潜血	部件 体液 隐秘 红 动物
苦役	事务 费力
辞书	书刊 词语
书展	事情 展示 读物
报单	文书 告诉 付 费用 征收 机构
互惠互利	有利 相互
象牙筷	用具 吃
菜油	材料 调整 味道
收看	看
靖州苗族侗族自治县	地方 县 中国 专 管理 人 本土 政
口重	喜欢 食品 咸
上合组织峰会	事情 商讨 高等 专
中高层住宅	房屋 高
玉雕	用具 装饰
电瓶	用具 制造 电
蒸汽涡轮	部件 机器
绝粒	戒除 食物
悲愁	悲哀
噩耗	信息 死
火球	火
规章制度	规矩
鰂	文字 中国
泡影	意愿 实现 未达成
火柴棍	部件 用具 点燃
夯	打
夯	用具 打
病房	房间 医 医治
吃不消	抗住 没能力
髋骨	部件 骨 动物
甜柑	水果
军需官	人 职位 军 管理 物质 军 供 军队
灯红酒绿	奢
古旧	背令
政论家	人 评估 事务 地方 国家 政 政
故伎	方法 旧
除开	功能词
法盲	人 不知 律法
记实	真
转运	复原 好运
转运	运送
商业道德	道德 商业 人 职位 商业
汇映	表演
瓜果	水果
支队长	人 官
国际安培	单位 电
周五	时间 日 周 特定
一诺千金	可信 说
地气	天象
疯瘫	瘫麻
厌弃	厌恶
整队	站立 形成 物形 有序 线
飞毛腿	人 跑 快
飞毛腿	部件 腿 动物
女宾	人 女 看望
投资者	人 金融 供 资金
痈	疾病
思路清晰	清醒
开幕	起始
归公	剥夺 警
轻贱	低等
病原菌	微生物 医 能 导致 疾病
笃厚	诚心
道地	纯
道地	真
高祖	人 家庭 直系 男 长辈
钠	金属 化学
流派	团体 知识
颅	部件 骨 部件 头 动物
茂盛	茂
跬步千里	成功 卖力 连续
征稿	要求 编辑 语文
魁伟	身高
快递公司	场所 经济 邮寄 快
敌酋	人 军队 军 敌 官
喃喃自语	说 低声 人 己
不备	有准备 否
专修	学习
锰钢	金属
苻	花草
苻	部件 植物
苻	姓
高峰期	时间 挤 事情 自移 人 驶 交通工具
张牙舞爪	吓唬
悒郁寡欢	忧愁
全酒腰花汤	食品 液态 烹调
内部新闻	事情 隐秘
克里米亚	地方 俄罗斯 专
蹊径	道路
媚	取悦
白日梦	事情 做梦 时间 白昼
醋心	腹症
发奋	卖力
等高线	位置 大地
守岁	祝贺
褐煤	材料 土石 焚烧
性别平等	公正性 群体 人 性别
确定性	可能 事件 会
确定性	精确
尖嘴猴腮	丑
诫	劝说
诫	规矩 宗教
蓬茸	茂
全天候	能 抗住 坏天
鄂伦春族	族群 中国
衣兜	部件 衣物 放置
远洋船	船
二尖瓣	部件 心 部件 脏 动物 循环
送还	还
氯化	变性态 化学
这会儿	时间 此刻
混浊	浑
混浊	歹
圆桌	家具 放置
联合国人口活动基金会	部件 经济 机构 联合国 政 专 国际
壁报	书刊 出版 新闻
喷出	喷出
永乐宫	设施 旅游 北京 专 消闲
不测	劫难
海枯石烂	坚决
喷头	部件 用具 加湿
二十一点	事情 赌博
英雄好汉	人 能 勇 高尚
鼓包	形变 凸
拢子	用具 化妆
温度单位	单位 温度
剑客	人 能够 利用 武器 军 扎
出入境	进入 地方 国家 政 离开 地方 国家 政
苦日子	生活状况 人 悲惨
煤炭工业	事务 制造 材料 土石 焚烧 工
甜面酱	材料 调整 味道
预防性	能 阻止
催产素	化学物 加快 医 生殖
戳子	用具 印刷 按压
不是滋味儿	坏情
不是滋味儿	难吃
着	功能词 动助
着	功能词 达成
着	功能词 进展
着	功能词 假定
着	穿戴
着	态变 焚烧
着	涂抹
着	差遣
着	规划 欺骗
着	睡 达成
着	遭受
着	触
情绪	情感
情绪	情感 坏情
不胜	难
不胜	很
不胜	抗住 没能力
落叶剂	化学物 杀害 花草 利用 事情 争斗 越南 军 专
草木灰	材料 农 喂 庄稼
馔	喝 吃
馔	吃
馔	食物
馔	准备 食物
贪赃枉法	收受 有罪 人工物
到位	完毕
战胜国	地方 国家 军 战胜
喧嚷	喊
双目	部件 眼 复 动物
幽默小说	语文 文 趣
赞比亚	与特定国家相关 赞比亚
赞比亚	地方 国家 非洲 政 专
独唱演员	人 艺 表演 独自
貔虎	军队 勇
茸	部件 兽 感知
皙	白
集约经营	事情 从事 农 精
雪人	人 雨雪
保存得良好	整
流转	循环 金融
流转	流浪
长白山脉	陆地 中国 专 凸
担惊受怕	害怕
主动精神	积极性 人
小道儿消息	信息 不精确 传播 隐秘
屏声息气	静
领袖	人 官
丢失	失去
发行额	多少 书刊 出版
直书	发表 直率
过	过 实体 事件 无功劳
过	功能词 动助
过	功能词 完结
过	祝贺
过	越过
过	传染 医
过	超
过	度过
过	结果 误
过	强过
过	经受
煤	材料 土石 焚烧
拿不准	相信 没能力
特刊	书刊 特别
春光明媚	美 天象 春
哲理	道理
利润留成	留存 酬金 赚
姐妹关系	归属 动物
他们俩	人 他 众
简易机场	设施 方向性自移 飞行器 放置 飞行器
惨无人道	暴
功夫	能力 人
功夫	能力 人 知识 中国 体育
功夫	力量 群体 人
功夫	事情 锻炼 体育
功夫	时间
喜马拉雅山脉	陆地 中国 专 凸
编遣	建立 军
淘气鬼	人 淘
前因后果	原因 结果
瞅见	感知 看
蒲团	用具 躺卧 坐蹲
拳王	人 拳击 获胜 比赛
不可知论者	人 有 知识
合资企业	场所 经济 工 建立 合并 资金 制造 卖
光亮亮	明
爱好	喜欢
爱好	情感 喜欢
爱好	事情 喜欢
制造	制造
遇救	经受 救助
小业主	人 职位 商业 工 有 场所 经济 工 狭
alpha	文字 希腊
日薄西山	衰败 境况
水陆交通	事情 自移 人 驶 交通工具
双脚	部件 脚 复 人
互相帮助	帮助 相互
臭腺	部件 络 动物 排出 体液 制造 体液
逃之夭夭	逃跑
言行一致	遵循 约定
值星	从事 承担 军
猴筋儿	用具 线 包扎
下不为例	仅
铞	文字 中国
民风	习惯 群体 人 归属地方
拈香	焚烧 用具 致敬 拟人
国旗	用具 指代 地方 国家 政
步枪	武器 军 射击
宿诺	语文 过去 约定
填鸭	禽 家养 喂
半夜时分	时间 夜
场次	多少 事情 艺 体育
索尼	场所 日本 工 专 制造 电脑
索尼	电脑 样式值 能 携带 特定牌子
鸳	文字 中国
番石榴	水果
关隘	部件 军 重要 地方
后车窗	部件 眼 车 自动
统制	控制
蜣螂	虫
家畜传染病	疾病 牲畜
贬黜	降级 职位
验光	查 能力 看
出血性卒中	疾病 部件 部件 头 动物
做出承诺	保证
民间舞蹈	表演物
技校	场所 教育 中等 学习 教
揭榜	发表 结果 考试 教育
揭榜	回应
译者	人 职位 翻译
举止	举止 人
吹吹拍拍	取悦
安危	安危 实体
拉下脸	表示坏情感
车架	部件 骨 车
规则	形状规则
规则	规矩
行市	价格 商业 人工物
重话	语文 严厉 说
